day,mayor,police
1/1/21,33,2
1/2/21,20,0
1/3/21,30,2
1/4/21,31,1
1/5/21,28,1
1/6/21,27,0
1/7/21,33,0
1/8/21,31,1
1/9/21,17,1
1/10/21,27,0
1/11/21,38,0
1/12/21,30,0
1/13/21,42,0
1/14/21,28,1
1/15/21,41,1
1/16/21,29,4
1/17/21,29,0
1/18/21,55,3
1/19/21,27,0
1/20/21,33,1
1/21/21,25,3
1/22/21,29,0
1/23/21,32,0
1/24/21,19,0
1/25/21,30,2
1/26/21,26,0
1/27/21,20,1
1/28/21,23,0
1/29/21,9,0
1/30/21,24,1
1/31/21,16,1
2/1/21,37,2
2/2/21,21,0
2/3/21,19,0
2/4/21,21,0
2/5/21,40,1
2/6/21,26,0
2/7/21,44,0
2/8/21,21,0
2/9/21,18,0
2/10/21,14,1
2/11/21,22,0
2/12/21,22,1
2/13/21,20,1
2/14/21,15,2
2/15/21,19,0
2/16/21,31,1
2/17/21,30,1
2/18/21,22,0
2/19/21,27,0
2/20/21,13,2
2/21/21,12,3
2/22/21,20,1
2/23/21,33,1
2/24/21,50,0
2/25/21,44,1
2/26/21,42,3
2/27/21,26,4
2/28/21,49,0
3/1/21,44,0
3/2/21,23,2
3/3/21,54,1